[INGEST]    Connecting to Wikipedia SSE stream (threaded)...
[INGEST] Read error: error decoding response body
[INGEST]    Connecting to Wikipedia SSE stream (threaded)...
[BOT  ]    commons.wikimedia.org | drift=0.04ms | exec=0.08ms | total=0.12ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.51ms | exec=0.14ms | total=0.65ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.46ms | exec=0.08ms | total=1.54ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.27ms | exec=0.09ms | total=0.36ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=1.32ms | exec=0.07ms | total=1.39ms | DEADLINE MET 
[HUMAN]    es.wikipedia.org | drift=0.88ms | exec=0.07ms | total=0.95ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=1.35ms | exec=0.07ms | total=1.43ms | DEADLINE MET 
[BOT  ]    fr.wikipedia.org | drift=0.90ms | exec=0.09ms | total=0.99ms | DEADLINE MET 
[HUMAN]    id.wikipedia.org | drift=0.58ms | exec=0.07ms | total=0.65ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.56ms | exec=0.55ms | total=2.11ms | DEADLINE MISS
[BOT  ]    zh.wikipedia.org | drift=0.91ms | exec=0.09ms | total=0.99ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.34ms | exec=0.07ms | total=1.41ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.90ms | exec=0.05ms | total=0.95ms | DEADLINE MET 
[BOT  ]    en.wikipedia.org | drift=0.24ms | exec=0.03ms | total=0.27ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.51ms | exec=0.08ms | total=0.59ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.34ms | exec=0.09ms | total=1.43ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=1.95ms | exec=0.20ms | total=2.14ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=1.23ms | exec=0.18ms | total=1.41ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.86ms | exec=0.09ms | total=0.96ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.48ms | exec=0.09ms | total=0.57ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.32ms | exec=0.12ms | total=0.44ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.15ms | exec=0.04ms | total=0.19ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.49ms | exec=0.04ms | total=0.52ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.68ms | exec=0.08ms | total=0.76ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.87ms | exec=0.04ms | total=0.91ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.35ms | exec=0.09ms | total=1.43ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.03ms | exec=0.10ms | total=1.13ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.13ms | exec=0.06ms | total=0.20ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=1.43ms | exec=0.07ms | total=1.50ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.28ms | exec=0.07ms | total=1.35ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=1.28ms | exec=0.06ms | total=1.34ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.73ms | exec=0.05ms | total=0.78ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.12ms | exec=0.05ms | total=0.17ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.84ms | exec=0.06ms | total=0.90ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.87ms | exec=0.05ms | total=0.92ms | DEADLINE MET 
[BOT  ]    ca.wikipedia.org | drift=0.87ms | exec=0.06ms | total=0.93ms | DEADLINE MET 
[HUMAN]    simple.wikipedia.org | drift=0.19ms | exec=0.07ms | total=0.26ms | DEADLINE MET 
[HUMAN]    fr.wikipedia.org | drift=1.46ms | exec=0.06ms | total=1.52ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.33ms | exec=0.22ms | total=0.55ms | DEADLINE MET 
[BOT  ]    zh.wikipedia.org | drift=0.47ms | exec=0.15ms | total=0.62ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.86ms | exec=0.19ms | total=1.05ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.97ms | exec=0.28ms | total=1.25ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.48ms | exec=0.34ms | total=1.82ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.27ms | exec=0.12ms | total=0.39ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.43ms | exec=0.09ms | total=1.51ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.35ms | exec=0.07ms | total=0.43ms | DEADLINE MET 
[HUMAN]    es.wikipedia.org | drift=0.57ms | exec=0.09ms | total=0.66ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=1.40ms | exec=0.06ms | total=1.47ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.82ms | exec=0.06ms | total=0.88ms | DEADLINE MET 
[HUMAN]    zh.wikipedia.org | drift=0.47ms | exec=0.04ms | total=0.52ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.02ms | exec=0.22ms | total=0.24ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.65ms | exec=0.23ms | total=0.88ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.23ms | exec=0.17ms | total=1.40ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.86ms | exec=0.16ms | total=1.02ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.79ms | exec=0.09ms | total=0.88ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.65ms | exec=0.08ms | total=0.73ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.02ms | exec=0.13ms | total=0.15ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.47ms | exec=0.07ms | total=1.54ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.95ms | exec=0.08ms | total=1.02ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.45ms | exec=0.10ms | total=0.55ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.24ms | exec=0.08ms | total=0.33ms | DEADLINE MET 
