[INGEST]    Connecting to Wikipedia SSE stream...
[OVERFLOW]  ts=10:12:35.763  dropped=bot  title=freezable  queue=100/100
[OVERFLOW]  ts=10:12:35.771  dropped=bot  title=File:Dorpskerk Spijkenisse DSCF9728.JPG  queue=100/100
[OVERFLOW]  ts=10:12:35.774  dropped=bot  title=scioltamente  queue=100/100
[HUMAN]    commons.wikimedia.org | drift=14.08ms | exec=0.11ms | total=14.19ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=12.70ms | exec=0.11ms | total=12.80ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=0.98ms | exec=0.09ms | total=1.06ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.12ms | exec=0.09ms | total=0.21ms | DEADLINE MET 
[OVERFLOW]  ts=10:12:36.216  dropped=bot  title=Q19242885  queue=100/100
[HUMAN]    en.wikipedia.org | drift=1.82ms | exec=0.05ms | total=1.87ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.50ms | exec=0.05ms | total=1.55ms | DEADLINE MET 
[OVERFLOW]  ts=10:12:36.219  dropped=bot  title=scioperataggine  queue=100/100
[HUMAN]    commons.wikimedia.org | drift=0.99ms | exec=0.07ms | total=1.06ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.79ms | exec=0.05ms | total=0.83ms | DEADLINE MET 
[HUMAN]    vi.wiktionary.org | drift=0.02ms | exec=0.03ms | total=0.05ms | DEADLINE MET 
[HUMAN]    no.wikipedia.org | drift=1.40ms | exec=0.05ms | total=1.45ms | DEADLINE MET 
[OVERFLOW]  ts=10:12:36.760  dropped=bot  title=File:Nord Destiny at Vancouver - IMO 9363132 (5306250219).jpg  queue=100/100
[OVERFLOW]  ts=10:12:36.761  dropped=bot  title=File:Dorpskerk Spijkenisse bouwkundige tekening (1935).jpg  queue=100/100
[OVERFLOW]  ts=10:12:36.761  dropped=bot  title=Wikipedia:WikiProject Medicine/Discussions  queue=100/100
[OVERFLOW]  ts=10:12:36.761  dropped=bot  title=Q9278605  queue=100/100
[OVERFLOW]  ts=10:12:36.762  dropped=bot  title=File:USMC-060620-M-0008D-014.jpg  queue=100/100
[OVERFLOW]  ts=10:12:36.763  dropped=bot  title=File:Management- Snow Operations (8620632116).jpg  queue=100/100
[HUMAN]    en.wikipedia.org | drift=4.48ms | exec=0.05ms | total=4.53ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=2.60ms | exec=0.05ms | total=2.65ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=2.28ms | exec=0.05ms | total=2.33ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=0.11ms | exec=0.08ms | total=0.19ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.08ms | exec=0.05ms | total=1.13ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.81ms | exec=0.05ms | total=0.86ms | DEADLINE MET 
